DOE_ID,DOE_Type,DataSplit,Qf_train_m3h,T_RO_in_C,Cf_kg_m3,R_target,ProposalFeasibilityScore,NearestPriorDistance,Rmax_analytic_design
187,LowTemperatureChallenge,Train,52.2144398750036,24.9098391483459,39.354195521864,0.547152043200454,0.55588280320645,0.124278295723812,0.562874910370235
188,LowTemperatureChallenge,Train,55.6251165103051,23.7695910789354,39.8176497413228,0.527941016808963,0.648889938073011,0.132875675883191,0.545385368223882
189,LowTemperatureChallenge,Validation,54.7048520245719,26.1151657215665,39.0301698579042,0.548983837633133,0.684688860993303,0.0886287836709141,0.554610502013577
190,LowTemperatureChallenge,Validation,51.8667376522543,24.4947872839369,39.1907856320612,0.524873500838661,0.554826445703098,0.146101631500625,0.564700719194847
191,LowTemperatureChallenge,Train,52.8708902318278,26.3843237072319,39.1631496289316,0.488899898965393,0.594903025953327,0.114555042731232,0.565009501352719
192,LowTemperatureChallenge,Train,59.3305949491976,25.083020437127,39.0555444804884,0.476029222598995,0.581380692453334,0.0676683667552488,0.511136088237769
193,LowTemperatureChallenge,Train,52.3675019163827,23.5122160991946,39.0427534716401,0.547691834272229,0.576090319185009,0.134869316088222,0.566354709814077
194,LowTemperatureChallenge,Test,54.1914413640318,25.0229232957947,39.1752666089069,0.5323214810942,0.823819670879358,0.0296719484139837,0.559893313633954
195,LowTemperatureChallenge,Train,52.3090066023259,26.384179628206,38.5150583789084,0.558144747212165,0.648775672375036,0.158908395728523,0.572250744369738
196,LowTemperatureChallenge,Train,57.3185751936493,23.2740839934723,38.7993513739449,0.50817236825426,0.849327189261957,0.057392410545475,0.529183500670473
197,LowTemperatureChallenge,Train,59.8318081591167,23.1240355835948,40.6189530642649,0.501596711174163,0.553313019440067,0.161325132968403,0.506829151726079
198,LowTemperatureChallenge,Train,57.0312304002743,22.8405371599039,39.1508710668172,0.510515031928359,0.675647513122193,0.141943508446366,0.531864841349334
199,LowTemperatureChallenge,Test,55.0041357315877,26.157426863538,38.660158743883,0.439499095567286,0.552448880971701,0.164784191639356,0.551576480373315
200,LowTemperatureChallenge,Train,52.0268371193358,24.7865676408018,38.8220115658626,0.481125959604431,0.565267966368395,0.129231304883817,0.568821099822764
201,FlowEdgeChallenge,Train,61.0773010308047,44.5641405476929,40.0783701536284,0.435908874845564,0.964385836540483,0.0187776308945967,0.496432677691752
202,FlowEdgeChallenge,Validation,49.1957635812804,44.7332255700915,39.2559728835121,0.440895051113771,0.719490393596235,0.123065774367908,0.563972370016625
203,FlowEdgeChallenge,Train,61.0650909159326,43.934694016039,38.5228770648767,0.4909135354389,0.909293457620757,0.0441891784136381,0.496532540481998
204,FlowEdgeChallenge,Train,61.244730854547,42.2047307619212,41.4640624584068,0.489061356375892,0.864732270838685,0.133564200697183,0.495067336967247
205,FlowEdgeChallenge,Test,48.8229312789666,41.1437551973191,40.2942580255903,0.536212557854082,0.608915146293246,0.0382346826240621,0.552371418708488
206,FlowEdgeChallenge,Validation,47.6752310545634,43.3954293231535,38.5113554205906,0.548892493265369,0.575956966599779,0.15994013975626,0.572292118205691
207,FlowEdgeChallenge,Validation,61.1921160954379,37.3934418060324,39.4936767553688,0.484029763687619,0.912644524173865,0.0630080179036648,0.49549558973291
208,FlowEdgeChallenge,Train,47.7686633267055,36.5725568042873,39.362164646337,0.504764100303348,0.824190122047583,0.117957223632328,0.562785869873329
209,FlowEdgeChallenge,Train,61.1746317675976,36.9641890379634,40.5643117938428,0.476988971144423,0.831098498647127,0.102586574928051,0.495638064809032
210,FlowEdgeChallenge,Test,47.614468974551,38.0012412491545,38.5048298215323,0.44478385461585,0.552691143157933,0.103191844040129,0.572365029927013
211,FlowEdgeChallenge,Train,62.3639687624585,44.3611406223051,39.1301613774345,0.429953478268873,0.580727495233085,0.146231306923934,0.48612858827488
212,FlowEdgeChallenge,Train,61.0059077689419,35.3471213349576,38.6134179886023,0.493673064921727,0.810857717210598,0.06273611613872,0.497017147774163
213,FlowEdgeChallenge,Train,47.5030292305722,35.0372405178763,38.5268603421857,0.51921728573218,0.754449609552726,0.154722980507121,0.57211887885826
214,FlowEdgeChallenge,Train,61.313092080706,44.8883187910212,40.6679093471597,0.489279958518762,1,0.075109025321746,0.4945120152128
215,FlowEdgeChallenge,Test,49.9546557295824,33.6487911149672,39.209883200718,0.442668633072704,0.575348622368829,0.0629668604874646,0.564487338539464
216,FlowEdgeChallenge,Train,49.887298581917,44.6315631825752,38.8599144177893,0.500517456602214,0.919475999966203,0.0516696060194656,0.568397604270511
217,FlowEdgeChallenge,Train,62.701587311253,32.7493303478356,40.0048022158927,0.443814774856573,0.569557621590207,0.22310656856101,0.4834948609447
218,FlowEdgeChallenge,Train,62.3714148964512,44.2653781150935,39.5870988882999,0.483918986284354,0.954465425481499,0.0676153311582848,0.486070194265156
219,FlowEdgeChallenge,Train,61.4607424277405,33.8436722112767,41.3279911561155,0.489973441854273,0.587224735009818,0.0946680015032581,0.493316816150791
220,FlowEdgeChallenge,Train,49.8747995111956,31.5564202975447,39.8187048075564,0.477139829574066,0.572149205822591,0.0400999446972473,0.557684862485403
221,FlowEdgeChallenge,Test,61.1548033023099,35.5178298594664,39.0860265169206,0.43374136111215,0.628946553762722,0.0779223040878455,0.495799740213502
222,FlowEdgeChallenge,Train,47.7924000419768,44.6203520949701,38.5797960834481,0.424365397766607,0.57696527899203,0.139197386660597,0.571527418062033
223,FlowEdgeChallenge,Train,49.7997804861867,38.6806646246252,39.737178402947,0.468369852624269,0.599882531378948,0.142033236413625,0.558595772034112
224,FlowEdgeChallenge,Test,62.7405651558757,44.3857666592544,41.1976798642813,0.441474043650307,0.561283116923807,0.114612418597361,0.483192623930218
225,FlowEdgeChallenge,Train,49.9432366232307,37.4256444296443,38.8271211067449,0.49366443038355,0.909560718508015,0.12612574245053,0.568764009980504
226,FlowEdgeChallenge,Train,48.8740779702511,40.8473063890366,39.1628894440049,0.545224383020845,0.554551756443507,0.116036375885781,0.565012408446873
227,FlowEdgeChallenge,Train,62.2347366457438,40.7090181466566,40.1198809703173,0.483278703754716,0.976667077928266,0.0692377170897516,0.487144277039953
