Qf_train_m3h,T_RO_in_C,Cf_kg_m3,candidate_count,feasible_count,best_R_target_min_SEC,best_Qp_train_m3h,best_W_RO_train_kW,best_SEC_kWh_m3,best_Cp_mg_L,best_P1_opt_gauge_MPa,best_P2_opt_gauge_MPa,best_P_feasible
49.05,40.5,38.8,35,18,0.55,26.9775,108.353090776209,4.01642445653633,500,4.54181388713207,7.51546896206167,0.91399644023289
50.6,40.5,38.8,35,22,0.55,27.83,104.292658386462,3.74749041992318,500,4.91304962211317,7.38288286701362,0.862430148356324
52.15,40.5,38.8,35,25,0.545,28.42175,100.383249924099,3.53191657530232,500,5.23046610226433,7.19981572755151,0.981547262737041
53.7,40.5,38.8,35,28,0.55,29.535,98.5012579578271,3.33506883215937,500,5.66027935830513,7.1142340653498,0.870080627370355
55.25,40.5,38.8,35,29,0.525,29.00625,92.3583777032637,3.18408541963417,500,5.74411654716671,6.72471571011702,0.999877533680647
56.8,40.5,38.8,35,31,0.5,28.4,86.7925615245832,3.05607611002054,500,5.76376164908815,6.38659774033988,0.999967587951772
58.35,40.5,38.8,35,31,0.475,27.71625,81.7832288151522,2.95073210896684,500,5.73811447031097,6.08750755253059,0.999982851751362
59.9,40.5,38.8,35,30,0.46,27.554,80.570426414609,2.92409183474664,493.115200086691,5.70155181798147,5.94797776061464,0.99996257771135
61.45,40.5,38.8,35,29,0.435,26.73075,78.9371466347058,2.95304645902961,490.066539724805,5.48767073384064,5.78849711021617,0.898936589722533
63,40.5,38.8,35,18,0.485,30.555,96.7219278506874,3.16550246606733,451.644113979471,5.76087533135099,6.40640543018226,0.825009104277193
47.5,41,38.8,35,6,0.545,25.8875,112.389969650138,4.34147637470354,500,4.11890783090501,7.56327685896156,0.86741278365851
49.05,41,38.8,35,18,0.55,26.9775,107.830872563016,3.99706690994406,500,4.53552317382184,7.48618337515365,0.916016746329522
50.6,41,38.8,35,22,0.55,27.83,103.863434355311,3.73206735017286,500,4.90356518538583,7.35683802737938,0.859929846049902
52.15,41,38.8,35,25,0.545,28.42175,100.031009757031,3.51952324389001,500,5.21846145536563,7.17685645789115,0.978845879226011
53.7,41,38.8,35,28,0.55,29.535,98.2067736017204,3.32509814124667,500,5.64676514075076,7.0938615513543,0.844179096976532
55.25,41,38.8,35,29,0.525,29.00625,92.1161818707685,3.17573563872505,500,5.72587323461921,6.70763143189972,0.999883974857534
56.8,41,38.8,35,30,0.5,28.4,86.7154105683867,3.05335952705587,499.513121642142,5.74118640188583,6.37453108794048,0.999971731870408
58.35,41,38.8,35,31,0.475,27.71625,81.7378710580388,2.94909560485415,499.961099309574,5.71532915587479,6.07797096037971,0.999985498512295
59.9,41,38.8,35,30,0.455,27.2545,79.457474401259,2.91538917981467,494.989517153031,5.64737078791,5.88952488286853,0.999965703291162
61.45,41,38.8,35,29,0.43,26.4235,77.8191945268896,2.94507519923135,492.383777225785,5.4308546634338,5.73671968954531,0.865702289822884
63,41,38.8,35,18,0.485,30.555,96.8291585653397,3.16901189871837,450.98843731625,5.72590140923712,6.4004590676101,0.832180335311128
47.5,41.5,38.8,35,7,0.55,26.125,112.026241807142,4.28808581079969,500,4.16460749982524,7.58007954771453,0.800898563384982
49.05,41.5,38.8,35,18,0.55,26.9775,107.325979577095,3.97835157361115,500,4.52900492885829,7.45763770019914,0.917440981266627
50.6,41.5,38.8,35,22,0.55,27.83,103.449131204661,3.71718042417036,500,4.89404452097599,7.33144349551361,0.857843374976206
52.15,41.5,38.8,35,25,0.545,28.42175,99.6910729473965,3.50756279776567,500,5.20660170512361,7.15443823384019,0.975977535565666
53.7,41.5,38.8,35,28,0.55,29.535,97.9217176383289,3.31544667812185,500,5.63332533244396,7.07412598636831,0.817619873441762
55.25,41.5,38.8,35,28,0.525,29.00625,91.8957651595457,3.16813670017826,500,5.70689444402957,6.69249008388848,0.999889017447396
56.8,41.5,38.8,35,30,0.495,28.116,85.7411967823272,3.04955174215134,500,5.66780353141157,6.31891264194747,0.999983009812983
58.35,41.5,38.8,35,31,0.475,27.71625,81.7340763947364,2.9489586937171,499.19236191843,5.69174707100477,6.06936485745284,0.999987616399788
59.9,41.5,38.8,35,31,0.455,27.2545,79.205722645574,2.90615210866367,495.133927481597,5.63113806044896,5.8735408724655,0.99997223526287
61.45,41.5,38.8,35,30,0.43,26.4235,77.6168967823394,2.93741922085792,492.453055995705,5.41770296263015,5.72030647721027,0.89045593456535
63,41.5,38.8,35,18,0.485,30.555,96.9348281207395,3.1724702379558,450.354357432177,5.691157377757,6.39452792982543,0.839831969228266
47.5,42,38.8,35,7,0.55,26.125,111.447506559718,4.26593326544374,500,4.16144671904404,7.54893241239752,0.820381640856055
49.05,42,38.8,35,18,0.55,26.9775,106.837840070039,3.96025725400942,500,4.52227703430705,7.42978273472186,0.918203871761795
50.6,42,38.8,35,23,0.55,27.83,103.049301046822,3.70281354821496,500,4.88453220105623,7.30665595371798,0.855864860811545
52.15,42,38.8,35,25,0.545,28.42175,99.3630038221249,3.49601990806776,500,5.19493840477862,7.132540093398,0.972954950530084
53.7,42,38.8,35,27,0.545,29.2665,96.8068479266106,3.30776990506588,500,5.56342697643457,7.00373622105939,0.974673528667259
55.25,42,38.8,35,29,0.525,29.00625,91.7114223613558,3.16178142163692,500,5.6870431285383,6.67942836373479,0.999892664586469
